,Species,dataset,r.max,T.br,Sp.name
117,Gymnodinium aureolum,"Thomas et al., 2012",0.413161127,11.2612298,Gymnodinium aureolum
118,Gymnodinium catenatum,"Thomas et al., 2012",0.390125627,11.67362773,Gymnodinium catenatum
119,Gymnodinium catenatum strain GCCV-10,"Thomas et al., 2012",0.204821407,16.6161269,Gymnodinium catenatum
120,Gymnodinium corollarium clone GCTV-B4,"Thomas et al., 2012",0.307572555,10.42975142,Gymnodinium corollarium
121,Gymnodinium isolate 581 (probably G. simplex),"Thomas et al., 2012",0.77470241,11.337367,NA
122,Gymnodinium isolate 582 (probably G. simplex),"Thomas et al., 2012",1.122138562,12.48623957,NA
123,Helicotheca tamesis,"Thomas et al., 2012",0.900820483,15.06499646,Helicotheca tamesis
124,Heterocapsa rotundata,"Thomas et al., 2012",1.268814033,21.67610995,Heterocapsa rotundata
125,Heterosigma akashiwo,"Thomas et al., 2012",0.982417003,14.64189225,Heterosigma akashiwo
126,"Isochrysis galbana clone T-ISO, NEPCC 601","Thomas et al., 2012",0.879918236,16.14768827,Isochrysis galbana
127,Isochrysis sp. strain PS11,"Thomas et al., 2012",0.446774488,20.03010949,NA
128,Karenia brevis strain APA,"Thomas et al., 2012",0.200552768,13.5638949,Karenia brevis
129,Karenia brevis strain MAN,"Thomas et al., 2012",0.146330246,12.52555145,Karenia brevis
130,Karenia mikimotoi,"Thomas et al., 2012",0.645061537,12.61362398,Karenia mikimotoi
131,Karlodinium veneficum strain KT76E,"Thomas et al., 2012",0.476950136,15.46612821,Karlodinium veneficum
132,Klebsormidium strain UMACC 227,"Thomas et al., 2012",0.207631531,24.29080216,NA
133,Leonella granifera strain GeoB*38,"Thomas et al., 2012",0.188708943,13.99698209,Leonella granifera
134,Leonella granifera strain GeoB*39,"Thomas et al., 2012",0.411009643,10.53650422,Leonella granifera
135,Leptocylindrus danicus,"Thomas et al., 2012",1.380116958,12.81895297,Leptocylindrus danicus
136,Men. 5 (Diatom),"Thomas et al., 2012",1.660591795,17.70959896,NA
137,Micromonas pusilla,"Thomas et al., 2012",2.57032369,22.38402878,Micromonas pusilla
138,Micromonas sp. strain CCMP2099,"Thomas et al., 2012",0.519933078,14.83480195,NA
139,N-fixing unicellular cyanobacterium strain A 2.5,"Thomas et al., 2012",1.288345071,4.598098379,NA
140,N-fixing unicellular cyanobacterium strain P-3,"Thomas et al., 2012",1.12213378,4.718615786,NA
141,N-fixing unicellular cyanobacterium strain P-7,"Thomas et al., 2012",0.363925645,4.317377449,NA
142,Nannochloris (possibly Stichococcus) sp.,"Thomas et al., 2012",2.997066085,18.99566178,NA
143,Neoceratium furca,"Thomas et al., 2012",0.560205365,14.00797137,Neoceratium furca
144,Neoceratium furca,"Thomas et al., 2012",0.247612878,12.72022416,Neoceratium furca
145,Neoceratium fusus,"Thomas et al., 2012",0.457884699,13.74807359,Neoceratium fusus
146,Neoceratium fusus,"Thomas et al., 2012",0.186832376,15.54845172,Neoceratium fusus
147,Neoceratium lineatum,"Thomas et al., 2012",0.252793362,13.20730537,Neoceratium lineatum
148,Nitzschia paleacea strain NT7,"Thomas et al., 2012",0.391397833,19.0006871,Nitzschia paleacea
149,Odontella mobiliensis,"Thomas et al., 2012",1.309784738,14.48282926,Odontella mobiliensis
150,Olisthodiscus luteus clone OLMS,"Thomas et al., 2012",0.955526288,23.44164911,Olisthodiscus luteus
151,Peridinium sp. 1,"Thomas et al., 2012",0.564982166,17.32309918,NA
152,Pernambugia tuberosa strain GeoB*74,"Thomas et al., 2012",0.327259015,14.35685173,Pernambugia tuberosa
153,Phaeocystis antarctica strain CCMP 1871,"Thomas et al., 2012",0.253037782,6.89800019,Phaeocystis antarctica
154,Phaeocystis globosa strain CCMP 1528,"Thomas et al., 2012",0.768536194,16.26292133,Phaeocystis globosa
155,Phaeocystis pouchetii,"Thomas et al., 2012",2.584371383,9.836528031,Phaeocystis pouchetii
156,Phaeodactylum tricornutum,"Thomas et al., 2012",0.297349668,27.94762305,Phaeodactylum tricornutum
157,Phaeodactylum tricornutum clone Pet Pd,"Thomas et al., 2012",1.469945177,15.36660976,Phaeodactylum tricornutum
158,Picochlorum atomus,"Thomas et al., 2012",0.567555833,16.76037757,Picochlorum atomus
159,Prochlorococcus marinus strain MED4 (clade 2),"Thomas et al., 2012",0.570197206,10.25507698,Prochlorococcus marinus
