curve_id,strain_id,genus_species,culture_name,ancestor_name,experiment,temperature,nitrate_level,light_level,block,replicate,day,fluorescence,absorbance,fluorescence_trunc,absorbance_trunc,comments
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,7,60,0.8981,60,0.8981,
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,8,164,0.8972,164,0.8972,
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,9,179,0.8969,179,0.8969,
19,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,1,10,158,0.8888,158,0.8888,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,1,19,0.8803,19,0.8803,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,2,39,0.8791,39,0.8791,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,3,54,0.8765,54,0.8765,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,4,78,0.8836,78,0.8836,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,5,174,0.8822,174,0.8822,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,6,190,0.878,190,0.878,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,7,269,0.8915,269,0.8915,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,8,982,0.9324,982,0.9324,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,9,2376,1.103,2376,1.103,
20,4,Pediastrum_boryanum,SAG_87.81,,nitrate,25,500,140.6,1,2,10,2848,1.2408,2848,1.2408,
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,1,12,0.8406,NA,NA,
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,2,31,0.8359,NA,NA,
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,3,45,0.8369,NA,NA,
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,4,35,0.8292,NA,NA,
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,5,28,0.8244,NA,NA,
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,6,24,0.8194,24,0.8194,
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,7,48,0.828,48,0.828,
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,8,102,0.8511,102,0.8511,
21,5,Cyclotella_meneghiniana,SAG_1020.1a,,nitrate,25,500,140.6,1,1,9,216,0.9035,216,0.9035,
