"population","light","well.ID","µ"
"anc5",82.5,"E07_19",0
"32",82.5,"F07_19",0
"27",0.25,"B07_2",0
"27",0.25,"C07_2",0
"35",0.25,"D07_2",0
"17",0.25,"E07_2",0
"35",0.25,"F07_2",0
"11",125,"B07_22",0
"11",125,"C07_22",0
"32",125,"D07_22",0
"anc5",125,"E07_22",0
"32",125,"F07_22",0
"11",175,"B07_25",0
"11",175,"C07_25",0
"32",175,"D07_25",0
"anc5",175,"E07_25",0
"32",175,"F07_25",0
"11",250,"B07_28",0
"11",250,"C07_28",0
"32",250,"D07_28",0
"anc5",250,"E07_28",0
"32",250,"F07_28",0
"anc3",0.25,"B07_3",0
"7",0.25,"C07_3",0
"anc3",0.25,"D07_3",0
"15",0.25,"E07_3",0
"cc1690",0.25,"F07_3",0
"11",1.5,"B07_4",0
"11",1.5,"C07_4",0
"32",1.5,"D07_4",0
"anc5",1.5,"E07_4",0
"32",1.5,"F07_4",0
"27",1.5,"B07_5",0
"27",1.5,"C07_5",0
"35",1.5,"D07_5",0
"17",1.5,"E07_5",0
"35",1.5,"F07_5",0
"anc3",1.5,"B07_6",0
"7",1.5,"C07_6",0
"anc3",1.5,"D07_6",0
"15",1.5,"E07_6",0
"cc1690",1.5,"F07_6",0
"11",5,"B07_7",0
"11",5,"C07_7",0
"32",5,"D07_7",0
"anc5",5,"E07_7",0
"32",5,"F07_7",0
"27",5,"B07_8",0
"27",5,"C07_8",0
"35",5,"D07_8",0
"17",5,"E07_8",0
"35",5,"F07_8",0
"anc3",5,"B07_9",0
"7",5,"C07_9",0
"anc3",5,"D07_9",0
"15",5,"E07_9",0
"cc1690",5,"F07_9",0
"27",50,"B07_17",0
"27",50,"C07_17",0
"35",50,"D07_17",0
"17",50,"E07_17",0
"35",50,"F07_17",0
"anc3",50,"B07_18",0
"7",50,"C07_18",0
"anc3",50,"D07_18",0
"15",50,"E07_18",0
"cc1690",50,"F07_18",0
"27",82.5,"B07_20",0
"27",82.5,"C07_20",0
"35",82.5,"D07_20",0
"17",82.5,"E07_20",0
"35",82.5,"F07_20",0
"anc3",82.5,"B07_21",0
"7",82.5,"C07_21",0
"anc3",82.5,"D07_21",0
"15",82.5,"E07_21",0
"cc1690",82.5,"F07_21",0
"27",125,"B07_23",0
"27",125,"C07_23",0
"35",125,"D07_23",0
"17",125,"E07_23",0
"35",125,"F07_23",0
"anc3",125,"B07_24",0
"7",125,"C07_24",0
"anc3",125,"D07_24",0
"15",125,"E07_24",0
"cc1690",125,"F07_24",0
"27",175,"B07_26",0
"27",175,"C07_26",0
"35",175,"D07_26",0
"17",175,"E07_26",0
"35",175,"F07_26",0
"anc3",175,"B07_27",0
"7",175,"C07_27",0
"anc3",175,"D07_27",0
"15",175,"E07_27",0
"cc1690",175,"F07_27",0
"27",250,"B07_29",0
"27",250,"C07_29",0
"35",250,"D07_29",0
"17",250,"E07_29",0
"35",250,"F07_29",0
"anc3",250,"B07_30",0
"7",250,"C07_30",0
"anc3",250,"D07_30",0
"15",250,"E07_30",0
"cc1690",250,"F07_30",0
"anc5",0.25,"B08_1",0
"32",0.25,"D08_1",0
"33",0.25,"E08_1",0
"14",0.25,"F08_1",0
"anc5",12.5,"B08_10",0
"32",12.5,"D08_10",0
"33",12.5,"E08_10",0
"14",12.5,"F08_10",0
"17",12.5,"B08_11",0
"2",12.5,"C08_11",0
"35",12.5,"D08_11",0
"9",12.5,"E08_11",0
"31",12.5,"F08_11",0
"7",12.5,"B08_12",0
"16",12.5,"C08_12",0
"20",12.5,"D08_12",0
"30",12.5,"E08_12",0
"10",12.5,"F08_12",0
"anc5",27.5,"B08_13",0
"32",27.5,"D08_13",0
"33",27.5,"E08_13",0
"14",27.5,"F08_13",0
"17",27.5,"B08_14",0
"2",27.5,"C08_14",0
"35",27.5,"D08_14",0
"9",27.5,"E08_14",0
"31",27.5,"F08_14",0
"7",27.5,"B08_15",0
"16",27.5,"C08_15",0
"20",27.5,"D08_15",0
"30",27.5,"E08_15",0
"10",27.5,"F08_15",0
"anc5",50,"B08_16",0
"32",50,"D08_16",0
"33",50,"E08_16",0
"14",50,"F08_16",0
"anc5",82.5,"B08_19",0
