"","Sp.id","light","temp","id","r.exp"
"375","Pediastrum_boryanum",0.95,20,"2.3",0.0333193394186324
"376","Pediastrum_boryanum",0.95,20,"2.4",0.355986318107587
"377","Pediastrum_boryanum",0.95,20,"1.1",0.0177570853703671
"378","Pediastrum_boryanum",0.95,20,"1.2",-0.00188999595624999
"379","Pediastrum_boryanum",0.95,25,"1.1",0.0119278437397643
"380","Pediastrum_boryanum",0.95,25,"1.2",-0.066321547043133
"381","Pediastrum_boryanum",0.95,30,"2.1",0.297694848003853
"382","Pediastrum_boryanum",0.95,30,"2.2",0.0162530419992135
"383","Pediastrum_boryanum",0.95,35,"2.1",0.06137712546629
"384","Pediastrum_boryanum",0.95,35,"2.2",-0.0602929662023529
"385","Pediastrum_boryanum",3.6,15,"2.1",0.245381505253836
"386","Pediastrum_boryanum",3.6,15,"2.2",-0.00760491872522082
"387","Pediastrum_boryanum",3.6,20,"2.3",-0.0485471959587598
"388","Pediastrum_boryanum",3.6,20,"2.4",0.101490612753319
"389","Pediastrum_boryanum",3.6,20,"1.1",-0.00759931954411109
"390","Pediastrum_boryanum",3.6,20,"1.2",0.0705859984922569
"391","Pediastrum_boryanum",3.6,25,"1.1",0.350491945319174
"392","Pediastrum_boryanum",3.6,25,"1.2",0.0654346844755012
"393","Pediastrum_boryanum",3.6,30,"2.1",-0.00895140795210552
"394","Pediastrum_boryanum",3.6,30,"2.2",0.203093791944493
"395","Pediastrum_boryanum",3.6,35,"2.1",NA
"396","Pediastrum_boryanum",3.6,35,"2.2",-0.0107781872261031
"397","Pediastrum_boryanum",6.8,15,"2.1",-0.0199778496828693
"398","Pediastrum_boryanum",6.8,15,"2.2",0.0279586934346952
"399","Pediastrum_boryanum",6.8,20,"2.3",0.127074116964152
"400","Pediastrum_boryanum",6.8,20,"2.4",0.0350569287798434
"401","Pediastrum_boryanum",6.8,20,"1.1",0.116376319631397
"402","Pediastrum_boryanum",6.8,20,"1.2",0.0952123274519347
"403","Pediastrum_boryanum",6.8,25,"1.1",0.0318878090340443
"404","Pediastrum_boryanum",6.8,25,"1.2",-0.140893401922297
"405","Pediastrum_boryanum",6.8,30,"2.1",0.352780604848658
"406","Pediastrum_boryanum",6.8,30,"2.2",0.0701517533623819
"407","Pediastrum_boryanum",6.8,35,"2.1",-0.0343717220778501
"408","Pediastrum_boryanum",6.8,35,"2.2",-0.0553027509944359
"409","Pediastrum_boryanum",18.7,15,"2.1",0.0772758896430328
