"population","temp","well.ID","µ"
"27",16,"C07_21",0.883779536516047
"35",16,"D07_21",1.02905458460981
"17",16,"E07_21",0.995244895497072
"35",16,"F07_21",0.927349727773895
"anc3",16,"B07_26",1.16170728644464
"7",16,"C07_26",0.831520936560487
"anc3",16,"D07_26",1.14519575243166
"15",16,"E07_26",1.12549967873878
"cc1690",16,"F07_26",0.862593270549896
"11",22,"B07_31",1.3834845439942
"11",22,"C07_31",1.65632045851392
"32",22,"D07_31",1.95989423587377
"anc5",22,"E07_31",2.00974051578321
"32",22,"F07_31",1.80060459696
"27",22,"B07_36",1.73168417383103
"27",22,"C07_36",2.29123852663718
"35",22,"D07_36",1.9969832767047
"17",22,"E07_36",2.15719257610955
"35",22,"F07_36",2.08476694170156
"anc3",22,"B07_41",1.58926875120289
"7",22,"C07_41",1.6120545138477
"anc3",22,"D07_41",1.67143872483418
"15",22,"E07_41",1.85609232131588
"cc1690",22,"F07_41",2.2851977559833
"11",28,"B07_46",3.22116032078097
"11",28,"C07_46",3.09375676208677
"32",28,"D07_46",2.88469984915545
"anc5",28,"E07_46",3.03531699716773
"32",28,"F07_46",2.94673593277189
"27",28,"B07_51",2.87137321758268
"27",28,"C07_51",2.70832978806518
"35",28,"D07_51",3.31715649322702
"17",28,"E07_51",3.49734842544707
"35",28,"F07_51",2.79237443349858
"anc3",28,"B07_56",3.22046931343736
"7",28,"C07_56",3.38351915329109
"anc3",28,"D07_56",2.91538629212559
"15",28,"E07_56",3.61104321115143
"cc1690",28,"F07_56",2.87339461076292
"11",34,"B07_61",4.05597079581875
"11",34,"C07_61",3.62714599277443
"32",34,"D07_61",4.21497781245913
"anc5",34,"E07_61",4.94411405978236
"32",34,"F07_61",4.01661623423376
"27",34,"B07_66",1.87843970807539
"27",34,"C07_66",2.09053127025878
"35",34,"D07_66",3.81873734082322
"17",34,"E07_66",4.27748468517255
"35",34,"F07_66",3.73497561663614
"anc3",34,"B07_71",3.97820058062263
"7",34,"C07_71",4.30275859419458
"anc3",34,"D07_71",3.77603547485875
"15",34,"E07_71",3.6597628362065
"cc1690",34,"F07_71",3.26334446899319
"11",40,"B07_76",0.299874711893967
"11",40,"C07_76",0.363115162112802
"32",40,"D07_76",0.721923655104342
"anc5",40,"E07_76",0.79364478444305
"32",40,"F07_76",0.191581216366433
"27",40,"B07_81",-0.391555564163159
"27",40,"C07_81",-0.0511163078480765
"35",40,"D07_81",0.78608576072814
"17",40,"E07_81",0.574284564196787
"35",40,"F07_81",0.887695764367436
"anc3",40,"B07_86",0.140432342100452
"7",40,"C07_86",0.349726386786308
"anc3",40,"D07_86",0.244465212219444
"15",40,"E07_86",0.533292527898151
"cc1690",40,"F07_86",0.280244004105615
