"","Species","dataset","r.max","T.br"
"183","Skeletonema costatum","Thomas et al., 2012",1.0127806099399,18.6923127649363
"184","Skeletonema costatum","Thomas et al., 2012",1.39253397169444,20.9901000104991
"185","Skeletonema costatum clone FHS 3","Thomas et al., 2012",0.965035269304904,18.3210190305002
"186","Skeletonema costatum clone FHS 7","Thomas et al., 2012",1.63479585945181,17.719963433888
"187","Skeletonema costatum clone SK6C","Thomas et al., 2012",1.29447429850108,21.1998125605043
"188","Skeletonema costatum s.s. strain FDK009","Thomas et al., 2012",1.39970857036624,19.0533302750291
"189","Skeletonema japonicum strain FDK154","Thomas et al., 2012",1.61167563044046,30.5531362749649
"190","Skeletonema japonicum strain FDK157","Thomas et al., 2012",1.56926328746528,22.5893871879591
"191","Skeletonema japonicum strain FDK158","Thomas et al., 2012",1.6775889044673,20.6831817170408
"192","Skeletonema japonicum strain FDK159","Thomas et al., 2012",1.58673008078094,17.9439414209918
"193","Skeletonema japonicum strain FDK161","Thomas et al., 2012",1.59662299077972,23.0585060305911
"194","Skeletonema marinoi�dohrnii complex strain FDK031","Thomas et al., 2012",1.76231566023384,31.1926204583225
"195","Skeletonema marinoi�dohrnii complex strain FDK032","Thomas et al., 2012",1.74272785433079,25.4683976581375
"196","Skeletonema marinoi�dohrnii complex strain FDK035","Thomas et al., 2012",1.59125870713204,23.9570085468931
"197","Skeletonema marinoi�dohrnii complex strain FDK039","Thomas et al., 2012",1.75106465895743,29.4229310384045
"198","Skeletonema menzelii strain DM08080630","Thomas et al., 2012",2.22096015133605,21.8920472887855
"199","Skeletonema menzelii strain DM08080730","Thomas et al., 2012",2.58290809807204,19.0477845806693
"200","Skeletonema menzelii strain FDK221","Thomas et al., 2012",1.8272923558363,25.8499152614233
"201","Skeletonema menzelii strain FDK222","Thomas et al., 2012",1.75391017078321,29.821486049367
"202","Skeletonema pseudocostatum strain FDK225","Thomas et al., 2012",1.8266228302789,19.2858467525132
"203","Skeletonema tropicum clone 21-L","Thomas et al., 2012",1.54257138623914,10.7416901536351
"204","Skeletonema tropicum clone fall","Thomas et al., 2012",1.97941381589737,14.8040397949799
"205","Skeletonema tropicum clone S. trop.","Thomas et al., 2012",1.99564980649657,15.6941169580836
"206","Skeletonema tropicum clone spring","Thomas et al., 2012",1.5393273073135,10.9283106517406
"207","Skeletonema tropicum strain FDK199","Thomas et al., 2012",1.3026193916071,17.2830469110518
"208","Skeletonema tropicum strain FDK202","Thomas et al., 2012",1.33416964158016,16.5652731006463
"209","Skeletonema tropicum strain FDK204","Thomas et al., 2012",1.70903922793341,16.4774990684026
"210","Skeletonema tropicum strain FDK205","Thomas et al., 2012",1.61132842185741,16.291799488484
"211","Skeletonema tropicum strain FDK207","Thomas et al., 2012",1.68674722379004,16.1628386180251
"212","Stellarima microtrias","Thomas et al., 2012",0.564476714422813,8.9745868500085
"213","Stephanopyxis palmeriana","Thomas et al., 2012",1.10302057993463,11.0505873962936
"214","Stichococcus (possibly S. cylindricus)","Thomas et al., 2012",0.350543588552836,18.0756066906191
"215","Synechococcus strain WH8103","Thomas et al., 2012",0.772484064267368,14.5982453844692
"216","Synedra sp.","Thomas et al., 2012",0.377966515516695,9.31273360747393
"217","Thalassionema nitzschioides","Thomas et al., 2012",1.58993792418693,14.9701630537618
"218","Thalassionema nitzschioides","Thomas et al., 2012",1.08822344453499,20.1383517318203
"219","Thalassiosira nordenskioeldii","Thomas et al., 2012",0.986568008197791,18.2883891050246
"220","Thalassiosira nordenskioeldii clone TN-2","Thomas et al., 2012",1.13622966761475,12.0148061138665
"221","Thalassiosira pseudonana clone 5A","Thomas et al., 2012",1.94517555608297,16.1122029337935
"222","Thalassiosira rotula clone A8","Thomas et al., 2012",1.06844156185844,19.3033121794446
"223","Thalassiosira rotula clone C8","Thomas et al., 2012",1.48704889600407,19.4564664115853
"224","Trichodesmium erythraeum strain IMS101, CCMP 1985","Thomas et al., 2012",0.420135333731545,11.2131157012819
"225","Unidentified prymnesiophyte strain NT19","Thomas et al., 2012",0.551529839115251,35.8231975235154
