"population","salt","pop.ID","µ"
"19",9,"19.9",-0.15122826115786
"26",9,"26.9",-0.0653396379024693
"1",0,"1.0",1.12559662081763
"33",0,"33.0",1.46921368696125
"2",0,"2.0",1.18360850580966
"10",0,"10.0",1.34647216213833
"6",0,"6.0",1.06997069574808
"1",1,"1.1",1.31258744948319
"33",1,"33.1",1.16253700157818
"2",1,"2.1",1.05193226277603
"10",1,"10.1",1.16433716104151
"6",1,"6.1",1.07021027774357
"1",2,"1.2",0.106907243132507
"33",2,"33.2",1.09150996531114
"2",2,"2.2",1.28802849001208
"10",2,"10.2",1.11428800402634
"6",2,"6.2",1.03185676996413
"1",3,"1.3",0.685547349556972
"33",3,"33.3",0.707164181724646
"2",3,"2.3",1.26638368867091
"10",3,"10.3",0.763088704225952
"6",3,"6.3",0.891706764567073
"1",4,"1.4",0.133495046052028
"33",4,"33.4",0.0919674215047776
"2",4,"2.4",1.08103307758122
"10",4,"10.4",0.264312411247584
"6",4,"6.4",0.328061489150123
"1",5,"1.5",0.0307241781610657
"33",5,"33.5",0.0838231950963056
"2",5,"2.5",1.00706052858762
"10",5,"10.5",0.132143305450923
"6",5,"6.5",0.0389020720319842
"1",6,"1.6",0.044793431335024
"33",6,"33.6",-0.0248008086459366
"2",6,"2.6",0.968717866449077
"10",6,"10.6",-0.111271165239604
"6",6,"6.6",-0.0427511978583517
"1",7,"1.7",-0.083360965068653
"33",7,"33.7",0.0404587418956477
"2",7,"2.7",0.920488721553662
"10",7,"10.7",-0.0977151001769574
"6",7,"6.7",-0.00811814854100308
"1",8,"1.8",-0.1224504617483
"33",8,"33.8",0.0920579780307144
"2",8,"2.8",0.982234374752611
"10",8,"10.8",-0.313999009755735
"6",8,"6.8",-0.301988880570918
"1",9,"1.9",-0.298722072662337
"33",9,"33.9",-0.271872535830194
"2",9,"2.9",0.748295376326215
"10",9,"10.9",-0.262695020283976
"6",9,"6.9",-0.294089593246012
"20",0,"20.0",1.39411998459887
"30",0,"30.0",1.44130469822864
"29",0,"29.0",1.04203509757225
"23",0,"23.0",1.36291524729109
"16",0,"16.0",1.18079718506328
"35",0,"35.0",1.76955272715864
"20",1,"20.1",1.16239205375596
"30",1,"30.1",1.31876462039931
"29",1,"29.1",0.972726686614726
"23",1,"23.1",1.42056988634635
"16",1,"16.1",1.08170549447059
"35",1,"35.1",1.25436732157107
"20",2,"20.2",1.25397508949758
"30",2,"30.2",1.23765347116078
"29",2,"29.2",1.25836657371734
"23",2,"23.2",1.54371104681364
"16",2,"16.2",1.31667577757339
"35",2,"35.2",1.18828287089754
"20",3,"20.3",0.752894749361313
"30",3,"30.3",0.532149083084863
"29",3,"29.3",0.869265765624679
"23",3,"23.3",0.810027164367259
"16",3,"16.3",0.999740484055367
"35",3,"35.3",0.77112045378684
"20",4,"20.4",0.30669116405019
"30",4,"30.4",0.312302085861705
"29",4,"29.4",0.367315112256417
"23",4,"23.4",0.493567841708953
"16",4,"16.4",0.669194464840327
"35",4,"35.4",0.742996776215025
"20",5,"20.5",-0.0572498435911435
"30",5,"30.5",-0.00407240243242965
"29",5,"29.5",0.149972216257732
"23",5,"23.5",0.29129613984917
"16",5,"16.5",0.120468434118028
"35",5,"35.5",0.125492373941395
"20",6,"20.6",-0.0920538179262747
"30",6,"30.6",-0.0160061412818891
"29",6,"29.6",0.00963053650018081
"23",6,"23.6",0.536160318952886
"16",6,"16.6",0.747264889242017
"35",6,"35.6",0.0433191230638835
