"","population","population.number","nitrate.lvl","well.ID","r.exp"
"570","24",15,20,"D02_7",0.85068071772409
"571","24",15,20,"E06_7",0.694246993108911
"572","24",15,20,"E11_7",0.774298736366252
"573","24",15,40,"B11_10",0.515219432038511
"574","24",15,40,"D02_10",0.896062929480472
"575","24",15,40,"E06_10",0.326525765541067
"576","24",15,40,"E11_10",0.875170693375554
"577","24",15,60,"B11_13",0.539860799283983
"578","24",15,60,"D02_13",0.655447499067555
"579","24",15,60,"E06_13",0.976630880415672
"580","24",15,60,"E11_13",1.30075186030667
"581","24",15,80,"B11_16",1.61728985746552
"582","24",15,80,"D02_16",1.62393173672921
"583","24",15,80,"E06_16",1.70822487603142
"584","24",15,80,"E11_16",1.86622377022346
"585","24",15,100,"B11_19",1.25018009752496
"586","24",15,100,"D02_19",1.40167015263725
"587","24",15,100,"E06_19",1.42575312034712
"588","24",15,100,"E11_19",1.51391595484702
"589","24",15,400,"B11_22",1.66200803274554
"590","24",15,400,"D02_22",1.31832067859707
"591","24",15,400,"E06_22",1.48159249962787
"592","24",15,400,"E11_22",1.55614671797738
"593","24",15,600,"B11_25",1.27704813219696
"594","24",15,600,"D02_25",1.51893280877545
"595","24",15,600,"E06_25",1.19989253146982
"596","24",15,600,"E11_25",0.793252812448253
"597","24",15,1000,"B11_28",0.943304456940499
"598","24",15,1000,"D02_28",0.699056851141115
"599","24",15,1000,"E06_28",1.281469208313
"600","24",15,1000,"E11_28",1.4696002922258
"601","25",16,5,"B02_1",0.819088750437856
"602","25",16,5,"C05_1",0.428393769551164
"603","25",16,5,"E03_1",0.863399473237444
"604","25",16,5,"F02_1",0.805021615765046
"605","25",16,10,"B02_4",0.963063151614211
"606","25",16,10,"C05_4",0.934512700644578
"607","25",16,10,"E03_4",1.051381472797
"608","25",16,10,"F02_4",1.0570710804858
"609","25",16,20,"B02_7",0.865177393224842
"610","25",16,20,"C05_7",1.08557295149423
"611","25",16,20,"E03_7",0.814855293806191
"612","25",16,20,"F02_7",0.971044976427553
"613","25",16,40,"B02_10",1.10553961498345
"614","25",16,40,"C05_10",1.18583393973597
"615","25",16,40,"E03_10",0.914854671006811
"616","25",16,40,"F02_10",1.96754144105725
"617","25",16,60,"B02_13",1.28194109990976
"618","25",16,60,"C05_13",1.40051777298907
"619","25",16,60,"E03_13",0.418748568309718
"620","25",16,60,"F02_13",1.71950042861639
"621","25",16,80,"B02_16",1.30515660451531
"622","25",16,80,"C05_16",1.54836875027753
"623","25",16,80,"E03_16",1.72224533047079
"624","25",16,80,"F02_16",1.72983480606273
"625","25",16,100,"B02_19",1.50417402300896
"626","25",16,100,"C05_19",1.5371314208202
"627","25",16,100,"E03_19",1.47557388189525
"628","25",16,100,"F02_19",1.22676960027821
"629","25",16,400,"B02_22",1.7282989889715
"630","25",16,400,"C05_22",1.43132793669979
"631","25",16,400,"E03_22",1.60644993652818
"632","25",16,400,"F02_22",1.59799667547801
"633","25",16,600,"B02_25",1.43498777775242
"634","25",16,600,"C05_25",0.957877289310722
"635","25",16,600,"E03_25",1.39655765413516
"636","25",16,600,"F02_25",1.49471393510252
"637","25",16,1000,"B02_28",1.52962671599461
"638","25",16,1000,"C05_28",1.33284364926834
"639","25",16,1000,"E03_28",1.02523482295481
"640","25",16,1000,"F02_28",0.424100575921547
"641","26",17,5,"B09_2",0.759829997488297
"642","26",17,5,"C06_2",0.816571328910657
"643","26",17,5,"E02_2",0.870689042711824
"644","26",17,5,"F11_2",0.497709573561852
"645","26",17,10,"B09_5",0.878300315615133
"646","26",17,10,"C06_5",1.06250788758258
"647","26",17,10,"E02_5",0.824293037515935
"648","26",17,10,"F11_5",0.866823517513585
"649","26",17,20,"B09_8",0.696797867159436
"650","26",17,20,"C06_8",1.01873462273313
"651","26",17,20,"E02_8",1.12682802905158
"652","26",17,20,"F11_8",0.892558032793726
"653","26",17,40,"B09_11",1.02411657539363
"654","26",17,40,"C06_11",1.04931813272791
"655","26",17,40,"E02_11",0.919385874938478
"656","26",17,40,"F11_11",0.987992550479181
"657","26",17,60,"B09_14",1.24717643073742
"658","26",17,60,"C06_14",1.27131743643685
"659","26",17,60,"E02_14",0.662604038638904
"660","26",17,60,"F11_14",1.24074854764408
"661","26",17,80,"B09_17",1.74571089786905
"662","26",17,80,"C06_17",1.63980715465215
"663","26",17,80,"E02_17",1.60020755990393
"664","26",17,80,"F11_17",1.55742759309315
"665","26",17,100,"B09_20",1.46802624567634
"666","26",17,100,"C06_20",1.41798202427656
"667","26",17,100,"E02_20",1.56037526072464
"668","26",17,100,"F11_20",1.03661218475737
"669","26",17,400,"B09_23",1.88715579590468
"670","26",17,400,"C06_23",1.75300268567785
"671","26",17,400,"E02_23",1.74874695591481
"672","26",17,400,"F11_23",1.62443793518933
"673","26",17,600,"B09_26",1.70343662327925
"674","26",17,600,"C06_26",1.7386654765108
"675","26",17,600,"E02_26",1.48353678664318
"676","26",17,600,"F11_26",1.58276658756221
"677","26",17,1000,"B09_29",1.47713685877611
"678","26",17,1000,"C06_29",1.35380638818043
"679","26",17,1000,"E02_29",1.45617171261656
"680","26",17,1000,"F11_29",1.18403454998027
