"","Pop.fac","Pop.num","unique.id","T.µ.max","T.br","I.µ.max","I.comp","N.µ.max","N.comp","P.µ.max","P.comp","S.µ.max","S.c","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"38","27",18,"18.C07",2.16807682307883,21.3736931989541,0.5732379838936,0.00271402503704973,1.2893888815578,0.196664246876678,1.496893564,0.689913465547642,1.24190847638462,4.05780716197913,314.96,59.91,18.4376,7.4864,1.2333,1.24337561634116,428.1970628,"anc3","N"
"39","27",18,"18.D11",3.07291938887739,19.1696700425558,1.60595074013416,0.111821521265827,1.30548455093239,0.238269666797471,1.710083191,0.493803015842959,1.24190847638462,4.05780716197913,314.96,59.91,18.4376,7.4864,1.2333,1.24337561634116,428.1970628,"anc3","N"
"40","27",18,"18.G02",2.61142643648379,19.8840017135911,1.50332619965502,0.0898949207853574,1.3587006369785,0.204459594550417,1.407903522,0.505543962682601,1.24190847638462,4.05780716197913,314.96,59.91,18.4376,7.4864,1.2333,1.24337561634116,428.1970628,"anc3","N"
"41","28",19,"19.B02",5.93076649200023,16.3404934470476,0.899254331167758,0.0647741860754125,1.35411216242267,0.293809317238228,1.34080463,0.654921460197562,1.49841897758106,4.07875528528176,330.25,77.285,15.2657,6.5307,1.2002,0.606932764173452,369.5942831,"anc5","P"
"42","28",19,"19.C05",4.48405768940475,17.8510939553613,1.23507554839511,0.0853748910648626,1.50462749444729,0.396151934767942,1.508017215,0.521020887555966,1.49841897758106,4.07875528528176,330.25,77.285,15.2657,6.5307,1.2002,0.606932764173452,369.5942831,"anc5","P"
"43","28",19,"19.E03",5.41852857382838,17.6499380424901,1.1216687437081,0.0698443893588823,1.58411239010531,0.325450892061018,1.363909588,1.67084272083785,1.49841897758106,4.07875528528176,330.25,77.285,15.2657,6.5307,1.2002,0.606932764173452,369.5942831,"anc5","P"
"44","28",19,"19.F02",6.01306290937979,18.2943054478555,1.18581493192116,0.0675515059860402,1.35353512438044,0.355795316780688,1.521649403,1.20911212774468,1.49841897758106,4.07875528528176,330.25,77.285,15.2657,6.5307,1.2002,0.606932764173452,369.5942831,"anc5","P"
"45","10",2,"2.C02",3.54120530418054,20.0042212173636,1.38638141295048,0.091150247851311,1.26934939187961,0.226353278406831,1.578283411,0.617983422401883,1.55118255385155,3.67656151297771,326.85,70.3,13.9976,5.6665,1.0837,0.0764407397944065,489.5041171,"anc2","L"
"46","10",2,"2.D05",4.15165594033797,20.0240918622879,1.52518901203064,0.0885196785415429,1.28173983416894,0.979203773137187,1.343135607,0.978636903455594,1.55118255385155,3.67656151297771,326.85,70.3,13.9976,5.6665,1.0837,0.0764407397944065,489.5041171,"anc2","L"
"47","10",2,"2.D11",4.15149041340239,18.5787269110801,1.40601730751854,0.0846391088817776,1.31831936157045,0.197829636482948,1.497685515,0.788030719294038,1.55118255385155,3.67656151297771,326.85,70.3,13.9976,5.6665,1.0837,0.0764407397944065,489.5041171,"anc2","L"
