"","Pop.id","Parameter","mean","Rhat","n.eff"
"840",140,"deviance",-56.4446258186323,1.00258159151093,960
"841",141,"cf.a",0.0600787016825565,1.00063204761116,3000
"842",141,"cf.b",-1.19252325081435,1.00147504108126,2000
"843",141,"cf.delta_t",6.55647655444016,1.00281618791165,2200
"844",141,"cf.sigma",0.454983379431213,1.00117588506382,3000
"845",141,"cf.tmax",41.4535243006313,1.01411910164946,3000
"846",141,"deviance",5.82110983214591,1.00157611899703,1900
"847",142,"cf.a",0.0610497152117535,1.00078789304031,3000
"848",142,"cf.b",-1.17449890298062,1.00092736302748,3000
"849",142,"cf.delta_t",7.68476445688934,1.00227661450122,1100
"850",142,"cf.sigma",0.433872361957333,1.00066970547695,3000
"851",142,"cf.tmax",37.4464697327857,1.02538835582119,3000
"852",142,"deviance",2.90929249943032,1.00153262628801,1900
"853",143,"cf.a",0.0564945710383954,1.00676412195033,3000
"854",143,"cf.b",-1.16359534314803,1.00116949071947,3000
"855",143,"cf.delta_t",6.9454522661642,1.00116687290148,3000
"856",143,"cf.sigma",0.583254067231491,1.00316516974531,750
"857",143,"cf.tmax",41.4978520911146,1.04327099120213,3000
"858",143,"deviance",9.62458706063117,1.00206984792741,1300
"859",144,"cf.a",0.0569648785439841,1.00122398057062,2800
"860",144,"cf.b",-1.13302549848357,1.00059128504695,3000
"861",144,"cf.delta_t",6.46377609921394,1.00067509503941,3000
"862",144,"cf.sigma",0.478616507252245,1.001799784807,1500
"863",144,"cf.tmax",41.4815885156692,1.08653013813176,1400
"864",144,"deviance",6.78009144657502,1.001781881116,1600
"865",145,"cf.a",0.0605825708501076,1.00837341101802,820
"866",145,"cf.b",-1.16357257068391,1.00083726256885,3000
"867",145,"cf.delta_t",6.51197201088926,1.00375808149782,920
"868",145,"cf.sigma",0.414961411376766,1.00066289791284,3000
"869",145,"cf.tmax",41.557856136053,1.0133417736541,3000
"870",145,"deviance",4.75149323749836,1.00069251332521,3000
"871",146,"cf.a",0.028847157723844,11.2833491502408,3
"872",146,"cf.b",-0.705269287323505,47.6448086127001,3
"873",146,"cf.delta_t",6.21094839111127,4.76467536859145,3
"874",146,"cf.sigma",0.0115433248187624,1.03060465180018,71
"875",146,"cf.tmax",41.0481704151846,3.29621428960348,4
"876",146,"deviance",-51.407765405934,1.05400418326391,43
"877",147,"cf.a",0.0437138536812226,1.00104763110242,3000
"878",147,"cf.b",-0.68611439114526,1.00058190505397,3000
"879",147,"cf.delta_t",9.37198668883826,1.00247734873492,1300
"880",147,"cf.sigma",0.366472959373165,1.00062156720191,3000
"881",147,"cf.tmax",36.7902503258055,1.02129908356364,2300
"882",147,"deviance",0.870308785076486,1.00081836209123,3000
"883",148,"cf.a",0.0581656336348021,1.00326753444144,3000
"884",148,"cf.b",-0.716491433387683,1.00086213548268,3000
"885",148,"cf.delta_t",8.30865573846926,1.0026112961612,1600
"886",148,"cf.sigma",0.258711848260398,1.00291807126008,1400
"887",148,"cf.tmax",36.8156246314416,1.00240810254623,3000
"888",148,"deviance",-1.46836212553189,1.0026647828237,2100
"889",149,"cf.a",0.0536061920373885,1.00122650021969,3000
"890",149,"cf.b",-0.592417496407649,1.00054070532028,3000
"891",149,"cf.delta_t",7.79710772822628,1.00090656195904,3000
"892",149,"cf.sigma",0.342987241156666,1.00063073599804,3000
"893",149,"cf.tmax",31.4507539417053,1.00169854996638,1700
"894",149,"deviance",9.91068132317448,1.00064522443654,3000
"895",150,"cf.a",0.0337368807774423,1.00577039764403,3000
