"","population","population.number","temperature","well.ID","r.gt","r.best.model"
"345","24",15,22,"B11_31",2.08921874333583,"gr.sat"
"346","24",15,22,"D02_31",1.79983290073984,"gr.sat"
"347","24",15,22,"E06_31",1.3143441109817,"gr.sat"
"348","24",15,22,"E11_31",1.68996519766128,"gr.sat"
"349","24",15,28,"B11_46",2.99934032737431,"gr.sat"
"350","24",15,28,"D02_46",3.17569233842369,"gr.sat"
"351","24",15,28,"E06_46",1.93941004619075,"gr.sat"
"352","24",15,28,"E11_46",2.70097979014662,"gr.sat"
"353","24",15,34,"B11_61",3.64962436873253,"gr.sat"
"354","24",15,34,"D02_61",3.75581365897972,"gr.sat"
"355","24",15,34,"E06_61",3.47106489265598,"gr.sat"
"356","24",15,34,"E11_61",3.24526078673687,"gr.sat"
"357","24",15,40,"B11_76",-0.485717037534407,"gr"
"358","24",15,40,"D02_76",-0.253860069137433,"gr"
"359","24",15,40,"E06_76",-0.427649238684156,"gr"
"360","24",15,40,"E11_76",-0.448777679412762,"gr"
"361","25",16,10,"B02_1",0.22125362945033,"gr"
"362","25",16,10,"C05_1",0.25893582753291,"gr"
"363","25",16,10,"E03_1",0.25187695649144,"gr"
"364","25",16,10,"F02_1",0.201946892327335,"gr"
"365","25",16,16,"B02_16",1.23310712368387,"gr.sat"
"366","25",16,16,"C05_16",1.71139577728956,"gr.lagsat"
"367","25",16,16,"E03_16",1.71982555785654,"gr.lagsat"
"368","25",16,16,"F02_16",1.24367442342378,"gr.sat"
"369","25",16,22,"B02_31",2.60079965771635,"gr.sat"
"370","25",16,22,"C05_31",2.08940523358172,"gr.sat"
"371","25",16,22,"E03_31",2.02176276979402,"gr.sat"
"372","25",16,22,"F02_31",1.70325785346523,"gr.sat"
"373","25",16,28,"B02_46",3.13548533192393,"gr.sat"
"374","25",16,28,"C05_46",3.08798918693249,"gr.sat"
"375","25",16,28,"E03_46",2.21698932658923,"gr.sat"
"376","25",16,28,"F02_46",2.14068834298056,"gr.sat"
"377","25",16,34,"B02_61",3.96345224779856,"gr.sat"
"378","25",16,34,"C05_61",2.89400421493712,"gr.sat"
"379","25",16,34,"E03_61",2.8293312075782,"gr.sat"
"380","25",16,34,"F02_61",3.24809621389425,"gr.sat"
"381","25",16,40,"B02_76",-0.82869311879282,"gr"
"382","25",16,40,"C05_76",-0.641454441114938,"gr"
"383","25",16,40,"E03_76",-0.54178125687698,"gr"
"384","25",16,40,"F02_76",-0.737867298686296,"gr"
"385","26",17,10,"B09_6",0.369712534355926,"gr"
"386","26",17,10,"C06_6",0.549831286779199,"gr.lag"
"387","26",17,10,"E02_6",0.367491129506668,"gr"
"388","26",17,10,"F11_6",0.325008280413187,"gr"
"389","26",17,16,"B09_21",1.34214216469189,"gr.lagsat"
"390","26",17,16,"C06_21",0.653429575356488,"gr"
"391","26",17,16,"E02_21",0.62129737471676,"gr"
"392","26",17,16,"F11_21",1.04352783671898,"gr.sat"
"393","26",17,22,"B09_36",1.83772494406858,"gr.sat"
"394","26",17,22,"C06_36",1.71690166511976,"gr.sat"
"395","26",17,22,"E02_36",1.64284317786583,"gr.sat"
"396","26",17,22,"F11_36",1.62845504868275,"gr.sat"
"397","26",17,28,"B09_51",3.17623646904483,"gr.sat"
"398","26",17,28,"C06_51",2.29800650533246,"gr.sat"
"399","26",17,28,"E02_51",2.56634417093989,"gr.sat"
"400","26",17,28,"F11_51",1.18081319530651,"gr.sat"
"401","26",17,34,"B09_66",3.4081119705054,"gr.sat"
"402","26",17,34,"C06_66",3.4927812723895,"gr.sat"
"403","26",17,34,"E02_66",3.56022878354087,"gr.sat"
"404","26",17,34,"F11_66",1.68527337543707,"gr.sat"
"405","26",17,40,"B09_81",-0.523959275707427,"gr"
"406","26",17,40,"C06_81",-0.454870970722462,"gr"
"407","26",17,40,"E02_81",-0.487647987525977,"gr"
"408","26",17,40,"F11_81",-0.640754432060961,"gr"
"409","27",18,10,"B07_6",0.453676105957686,"gr"
"410","27",18,10,"C07_6",0.410790667349834,"gr"
"411","27",18,10,"D11_6",0.372771702628067,"gr"
"412","27",18,10,"G02_6",0.536137160738586,"gr"
"413","27",18,16,"B07_21",0.668238698503335,"gr"
"414","27",18,16,"C07_21",0.670732972018891,"gr"
"415","27",18,16,"D11_21",0.664354059647088,"gr"
"416","27",18,16,"G02_21",0.679433042682949,"gr"
"417","27",18,22,"B07_36",1.92671477148458,"gr.sat"
"418","27",18,22,"C07_36",2.0283503784053,"gr.sat"
"419","27",18,22,"D11_36",2.00645646550991,"gr.sat"
"420","27",18,22,"G02_36",1.84690121688151,"gr.sat"
"421","27",18,28,"B07_51",1.91124685634431,"gr.sat"
"422","27",18,28,"C07_51",0.875523410907751,"gr.sat"
"423","27",18,28,"D11_51",1.09155998064208,"gr.sat"
"424","27",18,28,"G02_51",0.799900858817334,"gr.sat"
"425","27",18,34,"B07_66",1.9925971560997,"gr.sat"
"426","27",18,34,"C07_66",2.02640676350233,"gr.sat"
"427","27",18,34,"D11_66",1.14415394423119,"gr.sat"
"428","27",18,34,"G02_66",1.72991932950325,"gr.sat"
"429","27",18,40,"B07_81",-0.632054290097959,"gr"
"430","27",18,40,"C07_81",1e-04,"gr.lagsat"
"431","27",18,40,"D11_81",-0.22318823159225,"gr"
"432","27",18,40,"G02_81",-0.522428604501498,"gr"
"433","28",19,10,"B02_6",0.454739422681405,"gr"
"434","28",19,10,"C05_6",0.404651093451521,"gr"
"435","28",19,10,"E03_6",0.346437407660888,"gr"
"436","28",19,10,"F02_6",0.452857097397395,"gr.lag"
"437","28",19,16,"B02_21",0.902104770872011,"gr.sat"
"438","28",19,16,"C05_21",1.09742543054123,"gr.sat"
"439","28",19,16,"E03_21",1.13027960587502,"gr.sat"
"440","28",19,16,"F02_21",1.10955470020263,"gr.sat"
"441","28",19,22,"B02_36",1.69450676361984,"gr.sat"
"442","28",19,22,"C05_36",1.50686517412851,"gr.sat"
"443","28",19,22,"E03_36",1.63865237623858,"gr.sat"
"444","28",19,22,"F02_36",1.66478612948533,"gr.sat"
"445","28",19,28,"B02_51",3.76486519426922,"gr.sat"
"446","28",19,28,"C05_51",3.24140964103781,"gr.sat"
"447","28",19,28,"E03_51",3.64684940795508,"gr.sat"
"448","28",19,28,"F02_51",3.54452136302045,"gr.sat"
"449","28",19,34,"B02_66",4.91186368864701,"gr.sat"
"450","28",19,34,"C05_66",3.89817698787265,"gr.sat"
"451","28",19,34,"E03_66",3.88327481878949,"gr.sat"
