"","population","population.number","percentage","well.ID","r.exp"
"524","23",14,0.1,"F10_1",-0.0430773426857799
"525","23",14,0.6,"B06_4",0.0976441374147022
"526","23",14,0.6,"C10_4",-0.130673504970454
"527","23",14,0.6,"E05_4",0.0100761192736724
"528","23",14,0.6,"F10_4",0.0607624250596209
"529","23",14,2,"B06_7",0.442298117198481
"530","23",14,2,"C10_7",0.443982122067103
"531","23",14,2,"E05_7",0.548098768278328
"532","23",14,2,"F10_7",0.576908893166632
"533","23",14,5,"B06_10",0.534855757562547
"534","23",14,5,"C10_10",0.827196052482285
"535","23",14,5,"E05_10",0.782374391575105
"536","23",14,5,"F10_10",0.663071231341659
"537","23",14,11,"B06_13",1.24191061315
"538","23",14,11,"C10_13",1.21252068203942
"539","23",14,11,"E05_13",1.22273475414289
"540","23",14,11,"F10_13",1.13924632136312
"541","23",14,20,"B06_16",1.39287675351617
"542","23",14,20,"C10_16",1.39586556959622
"543","23",14,20,"E05_16",1.53874195609987
"544","23",14,20,"F10_16",1.40667161376885
"545","23",14,33,"B06_19",1.61509565267759
"546","23",14,33,"C10_19",1.54893021857398
"547","23",14,33,"E05_19",1.50674296688004
"548","23",14,33,"F10_19",1.55971085719176
"549","23",14,50,"B06_22",1.67246218830282
"550","23",14,50,"C10_22",1.5614887131185
"551","23",14,50,"E05_22",1.64238370947398
"552","23",14,50,"F10_22",1.46935178088966
"553","23",14,70,"B06_25",1.7057055438203
"554","23",14,70,"C10_25",1.46391260783546
"555","23",14,70,"E05_25",1.74641717765143
"556","23",14,70,"F10_25",1.54283236232397
"557","23",14,100,"B06_28",1.42155978996648
"558","23",14,100,"C10_28",1.53205999645314
"559","23",14,100,"E05_28",1.43656850564143
"560","23",14,100,"F10_28",1.34132104027308
"561","24",15,0.1,"B11_1",0.362224241050858
"562","24",15,0.1,"D02_1",-0.0980261183602848
"563","24",15,0.1,"E06_1",-0.0644247619637793
"564","24",15,0.1,"E11_1",0.194621509721149
"565","24",15,0.6,"B11_4",0.318301714155082
"566","24",15,0.6,"D02_4",-0.18802911750791
"567","24",15,0.6,"E06_4",-0.0392156866407469
"568","24",15,0.6,"E11_4",0.10937929693562
"569","24",15,2,"B11_7",0.207754091374188
"570","24",15,2,"D02_7",0.183889857276994
"571","24",15,2,"E06_7",0.293480193291573
"572","24",15,2,"E11_7",0.207336808449456
"573","24",15,5,"B11_10",0.204940870046688
"574","24",15,5,"D02_10",0.300602460556674
"575","24",15,5,"E06_10",0.655029049185565
"576","24",15,5,"E11_10",0.209706511753058
"577","24",15,11,"B11_13",0.766316759419241
"578","24",15,11,"D02_13",0.76367570795993
"579","24",15,11,"E06_13",1.14165437112754
"580","24",15,11,"E11_13",0.876893508573298
"581","24",15,20,"B11_16",1.2012325495059
"582","24",15,20,"D02_16",1.0757131855323
"583","24",15,20,"E06_16",1.42500503289706
"584","24",15,20,"E11_16",1.23237123901994
"585","24",15,33,"B11_19",1.35289730257829
"586","24",15,33,"D02_19",1.25507408939335
"587","24",15,33,"E06_19",1.37929614112524
"588","24",15,33,"E11_19",1.47880870801739
"589","24",15,50,"B11_22",1.20222935342167
