"","Model","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"184","Lactin 2","25",16,"16.E03","cf.sigma",0.279210416194017,1.00138373991972,4000
"185","Lactin 2","25",16,"16.E03","cf.tmax",40.9301832321976,1.00095736726972,6000
"186","Lactin 2","25",16,"16.E03","deviance",-2.57895917197846,1.00136680005347,4000
"187","Lactin 2","25",16,"16.F02","cf.a",0.0569760356280249,1.00924744494211,4700
"188","Lactin 2","25",16,"16.F02","cf.b",-1.42364265466604,1.00105749464906,6000
"189","Lactin 2","25",16,"16.F02","cf.delta_t",3.48725832890688,1.00092758075986,6000
"190","Lactin 2","25",16,"16.F02","cf.sigma",0.423062691648031,1.00142541053586,3800
"191","Lactin 2","25",16,"16.F02","cf.tmax",40.6857012222328,1.00152653370732,4200
"192","Lactin 2","25",16,"16.F02","deviance",2.92327187415973,1.00128443517643,4500
"193","Lactin 2","26",17,"17.B09","cf.a",0.0585732916737278,1.00930156580968,6000
"194","Lactin 2","26",17,"17.B09","cf.b",-1.50052264119882,1.00085445946087,6000
"195","Lactin 2","26",17,"17.B09","cf.delta_t",3.81685484321717,1.00091482173174,6000
"196","Lactin 2","26",17,"17.B09","cf.sigma",0.316883436030342,1.00073395925987,6000
"197","Lactin 2","26",17,"17.B09","cf.tmax",40.7212356533601,1.0017612048501,3600
"198","Lactin 2","26",17,"17.B09","deviance",-1.05873094466375,1.00071058698339,6000
"199","Lactin 2","26",17,"17.C06","cf.a",0.057064831864351,1.01486119134221,5200
"200","Lactin 2","26",17,"17.C06","cf.b",-1.42391467198557,1.00090234576271,6000
"201","Lactin 2","26",17,"17.C06","cf.delta_t",3.996384970983,1.00182881162656,6000
"202","Lactin 2","26",17,"17.C06","cf.sigma",0.280636378871589,1.00119635990971,5000
"203","Lactin 2","26",17,"17.C06","cf.tmax",40.996125580501,1.00117728519645,6000
"204","Lactin 2","26",17,"17.C06","deviance",-2.56570219661577,1.00118801988672,5100
"205","Lactin 2","26",17,"17.E02","cf.a",0.0592574657231121,1.00918775807676,1800
"206","Lactin 2","26",17,"17.E02","cf.b",-1.5486772750117,1.00158422936778,3200
"207","Lactin 2","26",17,"17.E02","cf.delta_t",4.21285549331943,1.00227175910596,3100
"208","Lactin 2","26",17,"17.E02","cf.sigma",0.514225863813595,1.00201884585657,2300
"209","Lactin 2","26",17,"17.E02","cf.tmax",40.7867275383115,1.00267743917513,3100
"210","Lactin 2","26",17,"17.E02","deviance",5.44579139164056,1.0018383900558,2600
"211","Lactin 2","26",17,"17.F11","cf.a",0.055620889336408,1.00505490759759,3900
"212","Lactin 2","26",17,"17.F11","cf.b",-1.48560171706571,1.00099537243036,6000
"213","Lactin 2","26",17,"17.F11","cf.delta_t",3.52268234336755,1.00143428982277,4800
"214","Lactin 2","26",17,"17.F11","cf.sigma",0.159224350002769,1.00100646888527,6000
"215","Lactin 2","26",17,"17.F11","cf.tmax",40.6914413524428,1.00509364781527,2800
"216","Lactin 2","26",17,"17.F11","deviance",-11.0067894333577,1.00077952874302,6000
"217","Lactin 2","27",18,"18.B07","cf.a",0.0428082807545076,1.00110003443234,5800
"218","Lactin 2","27",18,"18.B07","cf.b",-0.858735965417051,1.00082253753024,6000
"219","Lactin 2","27",18,"18.B07","cf.delta_t",4.41305969742418,1.00160854880547,5000
"220","Lactin 2","27",18,"18.B07","cf.sigma",0.80890565052764,1.00111437177353,5700
"221","Lactin 2","27",18,"18.B07","cf.tmax",40.5445744251904,1.0014882592822,3500
"222","Lactin 2","27",18,"18.B07","deviance",11.8347528442605,1.00075540853561,6000
"223","Lactin 2","27",18,"18.C07","cf.a",0.0430870535252513,1.00212815416907,6000
"224","Lactin 2","27",18,"18.C07","cf.b",-0.895357076351565,1.00066969776303,6000
"225","Lactin 2","27",18,"18.C07","cf.delta_t",4.36740864362099,1.00252781083224,3000
"226","Lactin 2","27",18,"18.C07","cf.sigma",0.794740862991337,1.00111374950579,5700
"227","Lactin 2","27",18,"18.C07","cf.tmax",40.9263902708432,1.00083158428066,6000
"228","Lactin 2","27",18,"18.C07","deviance",11.6236741515494,1.00082896047751,6000
"229","Lactin 2","27",18,"18.D11","cf.a",0.0520310639331818,1.00670286276224,4500
"230","Lactin 2","27",18,"18.D11","cf.b",-1.22513577776352,1.00099445337912,6000
"231","Lactin 2","27",18,"18.D11","cf.delta_t",4.81040671876124,1.00273137273477,2400
"232","Lactin 2","27",18,"18.D11","cf.sigma",0.374479011313419,1.0012455527835,4700
"233","Lactin 2","27",18,"18.D11","cf.tmax",41.2499479314556,1.00102058863924,6000
"234","Lactin 2","27",18,"18.D11","deviance",1.31593982883454,1.00207943046329,2200
"235","Lactin 2","27",18,"18.G02","cf.a",0.0477405525986944,1.02123838841257,3100
"236","Lactin 2","27",18,"18.G02","cf.b",-1.11030135550662,1.00125948281119,4600
"237","Lactin 2","27",18,"18.G02","cf.delta_t",2.91231214205147,1.00101834563404,6000
"238","Lactin 2","27",18,"18.G02","cf.sigma",0.376132563490497,1.00065221152531,6000
"239","Lactin 2","27",18,"18.G02","cf.tmax",40.6481437999658,1.00082639597309,6000
"240","Lactin 2","27",18,"18.G02","deviance",1.31551125889289,1.00061561515825,6000
"241","Lactin 2","28",19,"19.B02","cf.a",0.0646240480835187,1.00082915762197,6000
"242","Lactin 2","28",19,"19.B02","cf.b",-1.5942856548545,1.00058419638135,6000
"243","Lactin 2","28",19,"19.B02","cf.delta_t",4.00582766452914,1.00091570934644,6000
"244","Lactin 2","28",19,"19.B02","cf.sigma",0.480281963167517,1.00082227866413,6000
"245","Lactin 2","28",19,"19.B02","cf.tmax",40.9902350200964,1.00068437571063,6000
"246","Lactin 2","28",19,"19.B02","deviance",4.48837359250592,1.0007828044943,6000
"247","Lactin 2","28",19,"19.C05","cf.a",0.056524598510056,1.01359808667145,6000
"248","Lactin 2","28",19,"19.C05","cf.b",-1.32872413450613,1.00083850126442,6000
"249","Lactin 2","28",19,"19.C05","cf.delta_t",2.9837475886267,1.00078172208648,6000
"250","Lactin 2","28",19,"19.C05","cf.sigma",0.155553433192981,1.00082705435281,6000
"251","Lactin 2","28",19,"19.C05","cf.tmax",40.6436380486808,1.00124181547959,6000
"252","Lactin 2","28",19,"19.C05","deviance",-12.1504657813851,1.00092316383826,6000
"253","Lactin 2","28",19,"19.E03","cf.a",0.0626520250661732,1.00199765645555,2400
"254","Lactin 2","28",19,"19.E03","cf.b",-1.56674480800444,1.00172927641126,2800
"255","Lactin 2","28",19,"19.E03","cf.delta_t",4.31479505819614,1.00220979037691,4900
"256","Lactin 2","28",19,"19.E03","cf.sigma",0.379079391566951,1.00112630152717,5600
"257","Lactin 2","28",19,"19.E03","cf.tmax",41.1581318407132,1.00068338359665,6000
"258","Lactin 2","28",19,"19.E03","deviance",1.5355716155865,1.00080502081866,6000
"259","Lactin 2","28",19,"19.F02","cf.a",0.0636263145024752,1.00142068412058,5600
"260","Lactin 2","28",19,"19.F02","cf.b",-1.5247995586922,1.00162159244642,3100
"261","Lactin 2","28",19,"19.F02","cf.delta_t",4.58216756535706,1.00304281695845,6000
"262","Lactin 2","28",19,"19.F02","cf.sigma",0.407532869562853,1.00058774261599,6000
"263","Lactin 2","28",19,"19.F02","cf.tmax",40.9434612253623,1.00093541441036,6000
"264","Lactin 2","28",19,"19.F02","deviance",2.35323973833985,1.00073451996583,6000
"265","Lactin 2","10",2,"2.C02","cf.a",0.0506436126859781,1.00144249886931,6000
"266","Lactin 2","10",2,"2.C02","cf.b",-1.17722193327969,1.00058206866057,6000
"267","Lactin 2","10",2,"2.C02","cf.delta_t",4.21655184296035,1.00061514933043,6000
"268","Lactin 2","10",2,"2.C02","cf.sigma",0.407193682345216,1.00140817026281,3900
"269","Lactin 2","10",2,"2.C02","cf.tmax",41.6519884638116,1.00071248700792,6000
"270","Lactin 2","10",2,"2.C02","deviance",2.85723177595133,1.00140513293883,3900
"271","Lactin 2","10",2,"2.D05","cf.a",0.0539784859276457,1.00446450554087,6000
"272","Lactin 2","10",2,"2.D05","cf.b",-1.33105020227828,1.00064484682839,6000
"273","Lactin 2","10",2,"2.D05","cf.delta_t",3.66486204707556,1.0006104705466,6000
"274","Lactin 2","10",2,"2.D05","cf.sigma",0.425219571050512,1.00128091465505,4500
"275","Lactin 2","10",2,"2.D05","cf.tmax",40.8763895774236,1.00089022659176,6000
"276","Lactin 2","10",2,"2.D05","deviance",3.04149414801158,1.00117293969306,5200
"277","Lactin 2","10",2,"2.D11","cf.a",0.0499652640061302,1.00488006368482,4100
"278","Lactin 2","10",2,"2.D11","cf.b",-1.19148639760472,1.0019707608519,2400
"279","Lactin 2","10",2,"2.D11","cf.delta_t",2.58090867300472,1.00067799481629,6000
"280","Lactin 2","10",2,"2.D11","cf.sigma",0.166922567987718,1.00133605709598,4200
"281","Lactin 2","10",2,"2.D11","cf.tmax",40.702609861626,1.00123702542063,6000
"282","Lactin 2","10",2,"2.D11","deviance",-10.1562395245533,1.00123786950761,4700
"283","Lactin 2","10",2,"2.F08","cf.a",0.0528781525567596,1.00528281456629,6000
"284","Lactin 2","10",2,"2.F08","cf.b",-1.31309747194582,1.00067883048006,6000
"285","Lactin 2","10",2,"2.F08","cf.delta_t",3.3746181031143,1.00109917098293,5800
"286","Lactin 2","10",2,"2.F08","cf.sigma",0.368535434002919,1.00120363742494,5000
"287","Lactin 2","10",2,"2.F08","cf.tmax",40.6831793276377,1.00084844387627,6000
"288","Lactin 2","10",2,"2.F08","deviance",0.83866495398464,1.00155256598614,3300
"289","Lactin 2","29",20,"20.B10","cf.a",0.0539066778984322,1.00633014795756,6000
"290","Lactin 2","29",20,"20.B10","cf.b",-1.26551323521299,1.00070542876895,6000
"291","Lactin 2","29",20,"20.B10","cf.delta_t",3.32022773453226,1.00120021139327,5000
"292","Lactin 2","29",20,"20.B10","cf.sigma",0.290331344453231,1.00063341222541,6000
"293","Lactin 2","29",20,"20.B10","cf.tmax",40.9467553360651,1.00098331507318,6000
"294","Lactin 2","29",20,"20.B10","deviance",-2.45170511072168,1.00068246450815,6000
"295","Lactin 2","29",20,"20.D02","cf.a",0.0552152649207602,1.00263936225461,6000
"296","Lactin 2","29",20,"20.D02","cf.b",-1.37785103137323,1.00077037247617,6000
"297","Lactin 2","29",20,"20.D02","cf.delta_t",3.42448540293942,1.00182701145031,3000
"298","Lactin 2","29",20,"20.D02","cf.sigma",0.13494380925959,1.00064173586033,6000
"299","Lactin 2","29",20,"20.D02","cf.tmax",41.0685156628557,1.00324734627652,2700
"300","Lactin 2","29",20,"20.D02","deviance",-13.5799929433659,1.00082246509326,6000
"301","Lactin 2","29",20,"20.E06","cf.a",0.0567867248975294,1.0050553034285,6000
"302","Lactin 2","29",20,"20.E06","cf.b",-1.3165391829721,1.0007988080896,6000
"303","Lactin 2","29",20,"20.E06","cf.delta_t",4.41703984919625,1.00112759970244,6000
"304","Lactin 2","29",20,"20.E06","cf.sigma",0.373575261003664,1.00062580721756,6000
"305","Lactin 2","29",20,"20.E06","cf.tmax",41.2710912660208,1.00072494387537,6000
"306","Lactin 2","29",20,"20.E06","deviance",1.47269651293553,1.00065390041165,6000
"307","Lactin 2","29",20,"20.F04","cf.a",0.0571839688147685,1.00768870294322,4800
"308","Lactin 2","29",20,"20.F04","cf.b",-1.46645894211485,1.0009383486617,6000
"309","Lactin 2","29",20,"20.F04","cf.delta_t",4.08830514904773,1.00066105700645,6000
"310","Lactin 2","29",20,"20.F04","cf.sigma",0.558985769289381,1.00145965919085,3600
"311","Lactin 2","29",20,"20.F04","cf.tmax",41.2351063987056,1.00062385835779,6000
"312","Lactin 2","29",20,"20.F04","deviance",6.65132292439515,1.00128545943138,4500
"313","Lactin 2","3",21,"21.B03","cf.a",0.0568821793707438,1.00739788790508,6000
