"","Pop.fac","Pop.num","unique.id","K.s","r.max","R.jag","R.mth"
"111","anc3",34,"34.D07",6.10377647255126,1.21592576287923,4.9,5.21113061579513
"112","anc3",34,"34.F05",6.82440128443958,1.49231853665606,3.95,4.0990976463831
"113","anc4",35,"35.B11",4.29412365051486,0.789620928334506,9.85,10.4725177349044
"114","anc4",35,"35.D04",3.23697145536806,0.713350206101532,10.95,11.8206819611703
"115","anc4",35,"35.E02",5.54215288747638,1.1268321100513,5.15,5.475352510827
"116","anc4",35,"35.F06",6.18313334515108,1.39077296734792,3.95,4.16787113853515
"117","anc5",36,"36.B08",5.5685476495274,1.03597559713298,6.1,6.55156840501662
"118","anc5",36,"36.C11",6.46733031500115,1.31420330366669,4.5,4.8020274623475
"119","anc5",36,"36.E07",3.97744784862861,1.4397542539449,2.1,2.53181020181976
"120","anc5",36,"36.F05",4.50089246394545,1.09428677715001,4.2,4.71750357224693
"121","cc1690",37,"37.B04",5.97645527663062,1.36641888460557,3.85,4.15021897279862
"122","cc1690",37,"37.C05",8.11591112332333,1.51380309144872,4.7,4.76504036295152
"123","cc1690",37,"37.E05",7.4264743837756,1.75725324508889,3.4,3.47363907508604
"124","cc1690",37,"37.F07",6.12889934226471,1.11595430438707,5.85,6.17349952070641
"125","14",4,"4.B04",5.49510894487741,1.11081276599928,5.15,5.58676414034919
"126","14",4,"4.D06",3.52261368756833,1.19799701833271,2.65,3.09196376840989
"127","14",4,"4.D09",4.31932169864743,1.3274389890163,2.75,3.15180774740541
"128","14",4,"4.F08",5.36526197120016,1.04627318061188,5.75,6.17872180425715
"129","15",5,"5.B02",5.31921497936746,1.16488234018831,4.45,4.92452860752797
"130","15",5,"5.C11",6.82870016290005,1.5336659256244,3.75,3.92749914584069
"131","15",5,"5.E07",4.67652143043183,1.26508468044707,3.25,3.71423755708508
"132","15",5,"5.F02",7.02680685979746,1.4161076152519,4.45,4.59639859683847
"133","16",6,"6.B05",6.15744996746139,1.20156778707431,5.1,5.37460273294395
"134","16",6,"6.C08",4.88476457942904,1.04607894519218,4.95,5.62762117457843
"135","16",6,"6.E04",3.04081298132255,1.36515556423357,1.6,2.1149394541682
"136","16",6,"6.E11",5.19156418598618,1.20168261764588,4.05,4.53070702587841
"137","17",7,"7.B08",6.07319343705124,1.46760219330745,3.5,3.74722356317249
"138","17",7,"7.C11",6.86066588224094,1.74509442385074,3.1,3.24191289464611
"139","17",7,"7.E07",4.9607908737918,1.23807332694894,3.7,4.09696529698862
"140","17",7,"7.F05",4.135973085951,1.51420040718701,1.95,2.42731496516604
"141","18",8,"8.B11",7.39392482652175,1.18998098730998,6.4,6.5725759765109
"142","18",8,"8.D02",6.87252933461133,1.2173713042229,5.65,5.85455495647455
"143","18",8,"8.E06",7.23827927779187,1.47838729844246,4.25,4.41364596661767
"144","18",8,"8.E11",7.89859380406033,1.56022904449843,4.35,4.42219964977304
"145","19",9,"9.B03",4.60774486885316,0.780335250661138,11.1,11.7109591806813
"146","19",9,"9.D04",6.29121114530884,1.15531421094388,5.6,5.91801468301434
"147","19",9,"9.D10",6.20148587910974,1.30628378732513,4.3,4.65350065388524
"148","19",9,"9.F03",6.07517674342119,1.26187096218705,4.55,4.84718582132933
