"","Sp.id","Sp.name","Study","Parameter","est","se","p"
"200",50,"Emiliania huxleyi R strain TQ26","Buitenhuis et al. (2008)","delta_t",5.26271252327364,1.68923946814243,0.0894252770025712
"201",51,"Emiliania huxleyi strain B92/21","Conte et al. (1998)","a",0.0327765203314607,0.0038635342204223,0.00105838595983563
"202",51,"Emiliania huxleyi strain B92/21","Conte et al. (1998)","b",-0.864492131323955,0.0630900410563393,0.000164318050334905
"203",51,"Emiliania huxleyi strain B92/21","Conte et al. (1998)","tmax",28.3549127852314,0.285087067112159,6.12710650254941e-08
"204",51,"Emiliania huxleyi strain B92/21","Conte et al. (1998)","delta_t",2.79105497862193,0.556517724725343,0.00741034152184528
"205",52,"Emiliania huxleyi strain CCMP373","Watabe & Wilbur (1966)","a",0.0443708437425269,NA,NA
"206",52,"Emiliania huxleyi strain CCMP373","Watabe & Wilbur (1966)","b",-1.0672838363917,NA,NA
"207",52,"Emiliania huxleyi strain CCMP373","Watabe & Wilbur (1966)","tmax",30.7205175283872,NA,NA
"208",52,"Emiliania huxleyi strain CCMP373","Watabe & Wilbur (1966)","delta_t",4.77923948839759,NA,NA
"209",53,"Emiliania huxleyi strain G1779Ga","Conte et al. (1998)","a",0.115724816741936,0.0393055566815015,0.0603039452506543
"210",53,"Emiliania huxleyi strain G1779Ga","Conte et al. (1998)","b",-0.33244113643848,0.442257446828506,0.506833471570801
"211",53,"Emiliania huxleyi strain G1779Ga","Conte et al. (1998)","tmax",30.6467305184195,1.76286112445911,0.000414785443556447
"212",53,"Emiliania huxleyi strain G1779Ga","Conte et al. (1998)","delta_t",7.69052522408435,1.4673804997043,0.0135222913333508
"213",54,"Emiliania huxleyi strain M181, Bigelow 1A1","Conte et al. (1998)","a",0.034103993779487,0.00112132331706559,7.80836242592733e-05
"214",54,"Emiliania huxleyi strain M181, Bigelow 1A1","Conte et al. (1998)","b",-1.17289768466288,0.0276612838683043,2.88694466457005e-05
"215",54,"Emiliania huxleyi strain M181, Bigelow 1A1","Conte et al. (1998)","tmax",29.7696395172194,0.688572942884218,2.72373004639542e-05
"216",54,"Emiliania huxleyi strain M181, Bigelow 1A1","Conte et al. (1998)","delta_t",1.6208111547309,0.430347136242742,0.0327487981027722
"217",55,"Emiliania huxleyi strain S. Africa","Conte et al. (1998)","a",0.0525408603646884,0.0534600482372286,0.381346351248284
"218",55,"Emiliania huxleyi strain S. Africa","Conte et al. (1998)","b",-1.46610639110532,0.11719759583729,0.000234901510449301
"219",55,"Emiliania huxleyi strain S. Africa","Conte et al. (1998)","tmax",34.0130155976543,4.9819018592864,0.0024068894557591
"220",55,"Emiliania huxleyi strain S. Africa","Conte et al. (1998)","delta_t",6.22118319392315,9.82895470102459,0.561149097690445
"221",56,"Emiliania huxleyi strain Van556","Conte et al. (1998)","a",0.016598209467902,0.00207944928175293,0.0153353515549438
"222",56,"Emiliania huxleyi strain Van556","Conte et al. (1998)","b",-0.545299437577586,0.0250896500325645,0.00211029261936309
"223",56,"Emiliania huxleyi strain Van556","Conte et al. (1998)","tmax",28.3179344581967,0.145096005476485,2.62524999325877e-05
"224",56,"Emiliania huxleyi strain Van556","Conte et al. (1998)","delta_t",2.89224893550658,0.297745017007575,0.0104322974722796
"225",57,"Eucampia zodiacus","Nishikawa & Yamaguchi (2006)","a",0.172041312030172,0.0710740202279372,0.136562952916456
"226",57,"Eucampia zodiacus","Nishikawa & Yamaguchi (2006)","b",0,0.821248000575074,1
"227",57,"Eucampia zodiacus","Nishikawa & Yamaguchi (2006)","tmax",28.5622392318,2.15145917956948,0.00562606295055678
"228",57,"Eucampia zodiacus","Nishikawa & Yamaguchi (2006)","delta_t",5.43993784480996,1.58112708603773,0.0750872441519932
