population,population.number,temperature,well.ID,r.log,r.log.cln,r.exp.ln,r.exp.log,r.40.ln.early,r.40.ln.full
18,8,10,E06_6,2.020083774497337,2.0200684862689027,0.4986470127423639,0.6359597140735325,NA,0.3916230533477679
18,8,10,E11_6,2.8502225514928288,2.850175584684633,0.4998851978140245,0.702309542150409,NA,0.3847472031501096
18,8,16,B11_21,0.8390976640768658,0.8390970265443864,1.0436750458300037,1.7542963340815307,NA,0.5115514273765198
18,8,16,D02_21,1.0595790828036753,1.0595794380548036,0.979941508583331,1.4726670994959579,NA,0.4994476335604252
18,8,16,E06_21,1.0329106135905495,1.0329108734638834,0.9107152911285588,1.4800893900129486,NA,0.4879396699898151
18,8,16,E11_21,0.9865533426453079,0.9865533160352823,0.9655641277559812,1.6509580822794234,NA,0.4817762475058791
18,8,22,B11_36,1.1459086286608526,1.1459070047153246,2.050835298446433,5.831456541540276,NA,0.4723672716155167
18,8,22,D02_36,0.7842557606952804,0.7842555884598024,2.034189315182023,3.9083692283773677,NA,0.4994051936233196
18,8,22,E06_36,0.836531422926972,0.8365313896972828,1.947026239550582,3.8248565587555565,NA,0.49145232897099494
18,8,22,E11_36,0.9068179398446095,0.9068177076022871,1.9489165658644014,3.6239697788860936,NA,0.4557211162089489
18,8,28,B11_51,1.4736056902941725,1.17060788559761,3.466530568874012,5.5250457410040434,NA,0.31418442584908024
18,8,28,D02_51,0.8911147124180674,0.8647625327663238,3.225042780291511,4.038192965632184,NA,0.40412698546447695
18,8,28,E06_51,0.9234534499860046,0.9234534459294392,3.167443703966743,4.452084057373905,NA,0.369704546379674
18,8,28,E11_51,1.1839507529017261,1.1839504002826315,2.731684457351657,7.6466395640123634,NA,0.2944058842267052
18,8,34,B11_66,1.9080948361995926,1.9080947427834276,3.540822312981437,6.85873224596124,NA,0.43085639305565626
18,8,34,D02_66,1.290150232171016,1.2901501302945793,3.277011167307761,6.079918876789317,NA,0.550914579862758
18,8,34,E06_66,1.1897697867425185,1.1253832918477136,3.2001956945804038,6.9649992573003905,NA,0.5385181376648549
18,8,34,E11_66,1.5704148338995967,1.5704069576100346,3.135549113680748,5.469243859302269,NA,0.46667978977343033
18,8,40,B11_81,11.455806501818724,11.762801693944555,-2.072767662076597,NA,4.478977635415857,-0.4677157440355395
18,8,40,D02_81,12.835917348481043,13.20233458018864,-2.4781277572497458,NA,3.9637386097182077,-0.6036837378411601
18,8,40,E06_81,12.39145156418038,12.55941249565288,-2.238370780026594,NA,3.834293803250788,-0.5469812574343043
18,8,40,E11_81,14.074567793459657,12.885786201899311,-2.408003316410093,NA,3.936291895217953,-0.5422907629057984
19,9,10,B03_1,0.7479391926342048,0.762679762796514,0.2837254764715114,0.4069548116924321,NA,0.43862477011088447
19,9,10,D04_1,1.0515847284742892,1.080933414551141,0.18537969775487956,0.23042718618497726,NA,0.42982134813842465
19,9,10,D10_1,0.7395981155520978,0.7395981148013075,0.3624457267154718,0.4897709808340624,NA,0.4908580327316341
19,9,10,F03_1,0.674035288795158,0.6740352956239952,0.30221221216792343,0.36355972001666403,NA,0.4142899292840624
19,9,16,B03_16,2.6751872124296714,2.7839941591604536,0.8442392589077095,2.237128130403885,NA,0.6844044780749753
19,9,16,D04_16,1.1308197296005718,1.1308197731095233,0.9072337761864916,1.347334939318927,NA,0.6223899728401846
19,9,16,D10_16,1.5466208246745603,1.470733558637612,0.6290328503499821,0.8069888601820226,NA,0.6530684714158094
19,9,16,F03_16,1.2519974254322424,1.2519974270978118,0.7790828950854574,1.3320792877610839,NA,0.6250732112889038
19,9,22,B03_31,0.7953860326418509,0.7747418545222758,2.1998840084940148,3.3875570325706126,NA,0.6266721745476279
19,9,22,D04_31,1.2843727922561428,1.3222304119857013,1.7441519678162813,2.4729859866008894,NA,0.6405754524067795
19,9,22,D10_31,1.28211799299313,1.3494072387932865,1.8774172474052329,2.5524708746852567,NA,0.6265027599719383
19,9,22,F03_31,1.2310314468180454,1.1308429279853733,1.9235727771110196,2.6879101149314835,NA,0.6318611262635729
19,9,28,B03_46,1.44346488243042,1.1951575786014832,3.1902599637537272,5.577675936628076,NA,0.37962851671536946
19,9,28,D04_46,1.9592211466722245,1.6865758267891702,2.754438387953487,5.917389171016128,NA,0.4129828759689726
19,9,28,D10_46,2.0845585928201626,1.5840221867917856,3.1154294710443615,7.793502706183049,NA,0.045685750414764296
19,9,28,F03_46,1.6048441672339129,1.6048444677850535,2.801634578897584,4.124202528896269,NA,0.46003593452251396
19,9,34,B03_61,2.506025748651186,2.5060257148538754,4.242572064496574,6.090070033565345,NA,0.5512638091586956
19,9,34,D04_61,1.599237934023698,1.3075447996011587,3.4682204536605865,7.237551952157777,NA,0.5855918680276947
19,9,34,D10_61,-1.70573567912242,-4.3191709117616295,4.075488876910765,4.822826233366022,NA,-0.45498320376000484
19,9,34,F03_61,1.4089113317747017,1.4089119659170568,3.6868189042624078,5.830841253426528,NA,0.6364534678229007
19,9,40,B03_76,-8.320263705877574,-7.763115092473898,0.08756756359081172,NA,1.718161393470274,-0.7738004379182252
19,9,40,D04_76,-6.206021122280968,-5.476256317416213,-0.9491008522705009,NA,2.5749681130807014,-0.8138829433543865
19,9,40,D10_76,-6.8073602957387624,-6.442506682600704,-0.02293766859880994,NA,2.3586096691152174,-0.5420257387420806
19,9,40,F03_76,-7.26293782425285,-6.182564089027804,-0.4173411465549049,NA,2.3270000195962237,-0.5638669689016321
2,10,10,B10_6,0.47110006926990433,-0.15207895189483445,0.05507836271854535,0.3330738837802142,NA,0.028900227470804653
2,10,10,C08_6,-1.9022278454741046,-1.9033191592376837,0.1150428321656307,0.30895424053196086,NA,-0.0036705728998831146
2,10,10,E04_6,0.7421921692319641,0.7421733384220404,0.2285651821827332,0.296580664686275,NA,0.12385557016216703
2,10,10,F09_6,0.8001129373483273,0.8000694692324938,0.20950476857048203,0.7233585813456482,NA,0.10458659103453627
2,10,16,B10_21,1.4606538268966385,1.4606538471712942,0.7148538023832739,1.522609155029913,NA,0.6189864160809444
