"","population","rep.ID","T.min","T.opt","T.max","T.µ.max","T.br","T.br.min","T.br.max","T.a","T.b","T.tmax","T.d.t","I.µ.max","I.comp","I.K.s","N.µ.max","N.comp","N.K.s","P.µ.max","P.comp","P.K.s","S.µ.max","S.c","S.b","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein","pig.PC","bio.vol","Anc","Evol"
"31","30","30.C03",5.11193442905501,33.6006437509576,40.2009202648153,4.0182309798527,17.2641512619794,21.4921967397046,38.756348001684,0.0569071627537378,-1.33634340839201,40.8838752605178,3.69887900096135,1.92665551388898,0.0969570293409572,25.1192184804794,1.52247565675721,0.519062051690342,3.31641651951135,1.68437254177831,0.907025153864147,2.20530956729401,1.40304582960432,2.85712208570533,2.22455768977174,461.84,90.615,21.4494,10.5847,1.8334,3.25141892869934,346.2767024,"anc5","N"
"32","20","20.D03",5.62411198509527,33.2800658773189,40.250417493662,3.54998028934134,17.7465445644562,21.0083839742915,38.7549285387477,0.055232247300003,-1.35188114669718,41.0881000251038,4.18929747157961,2.00528295322834,0.0713688391765152,36.2027715702251,1.51843565661476,0.147926029396776,11.490027838123,1.43845755509578,0.739983518189504,2.12162960918059,1.27995990818846,3.18273509362568,2.70990132726612,397.015,76.83,15.7937,6.8696,1.551,1.27662401959081,455.1687489,"anc4","L"
"33","30","30.E03",0.73735565523165,32.5692423126368,40.2514156923571,3.61864184699226,19.5884860647601,18.972206254851,38.5606923196111,0.056357513989291,-1.01629168551271,40.9593823390896,4.81397240663138,2.07362723357886,0.0939468386375995,28.5449888297402,1.38762994638408,1.12596879956392,1.30690685679603,1.49761970929711,1.49858730130741,1.1156839063727,1.40304582960432,2.85712208570533,2.22455768977174,461.84,90.615,21.4494,10.5847,1.8334,3.25141892869934,346.2767024,"anc5","N"
"34","7","7.F03",6.1369715118974,34.4133861992514,40.1588123711091,3.71759415292049,16.3286516322971,22.6781886374198,39.0068402697169,0.0517285985980551,-1.36805907755545,40.7931469927651,2.91757853099694,1.90429072964982,0.0487651450538212,49.487312585591,1.48026601495209,0.269160840984842,6.12492547332761,1.42178094039416,1.19067634416188,1.28356281768822,0.874813591474563,4.01626705313915,3.08946546891361,490.68,90.07,10.1738,4.6335,0.9803,-0.756302228978485,414.3049979,"anc3","B"
"35","14","14.B04",7.64250349172714,33.4633346059227,40.3527219547053,4.54022214377435,16.9443032406999,21.8921735951459,38.8364768358458,0.0638459699515452,-1.61675783896329,41.1404721535722,4.43433606954161,1.62544854607331,0.122699492328041,15.5104959141048,1.59758979373063,0.160824833830747,11.583295387931,1.62318502906494,1.48187167654466,1.27999276478705,1.57049314557398,6.9987524709064,0.23480368839859,543.07,125.21,10.811,4.6567,1.1109,-0.48460703558777,502.7267893,"anc2","S"
"36","32","32.C04",4.75663505897768,34.1326277202917,40.136878270411,3.93054512602718,16.7492434795588,22.1104830637879,38.8597265433467,0.0535422819553788,-1.29036746861797,40.7325596238378,3.05877175950392,1.87651262878454,0.0788349609845424,29.6667071779003,1.71335599936237,0.211507469237927,9.76089546007329,1.68962763062615,0.960536021274263,2.09587812501174,1.03026330717659,7.10759327385793,4.64910727675723,441.225,108.99,19.0778,8.4892,1.4824,1.93911585153822,468.2378118,"cc1690","S"
"37","19","19.D04",5.80258232099401,33.8791847085912,40.1589896020844,3.57774438261479,16.9515453143459,21.8918468378774,38.8433921522233,0.0524308003508054,-1.35345646963208,40.8748137784017,3.36887708892623,1.75810831297869,0.0741482737060739,28.7249254723231,1.43813430883108,0.269860196079435,5.79995060074636,1.52565863091717,1.37217931432073,1.25704009934949,1.19473534591279,2.99826182619831,3.36310082655411,305.57,58.92,12.1037,4.4552,0.8465,-0.790876410936463,487.011853,"anc2","B"
"38","6","6.F04",6.51844768124789,35.2825202290468,40.1226374589957,4.0134736880915,15.1849793183592,23.9622122882992,39.1471916066584,0.0510302559496809,-1.39445987288085,40.6057165253809,2.16038556010806,1.43219369794783,0.127958903479823,12.1625058408179,1.32854501900786,0.561488704476607,2.44198289643779,1.43868419083346,3.92195644503742,0.401230203949402,1.04665223570319,3.70420071965949,4.12238076941617,289.25,62.5,1.3731,0.672,0.4053,-3.57645812263556,378.0189655,"cc1690","P"
"39","31","31.B04",7.79377060735821,33.3139807628016,39.9352395986791,4.56221004970807,16.4857864024932,21.9718492664604,38.4576356689536,0.0634667872365415,-1.63353243129069,40.668247149014,4.03912302409921,2.28467786768658,0.0567638183686488,54.6977588828949,1.80967434700006,0.112702758927601,19.8596968612669,1.57560383763411,0.941670369340838,1.92149745692083,1.41098535710036,2.86977659506766,2.57740779898229,209.995,40.175,12.4763,5.8848,0.9779,-0.194143372886796,511.7504989,"cc1690","B"
"40","35","35.C04",4.72254422161223,35.0976586321913,40.5440387608826,4.18992670113435,16.1902810045217,23.210820421569,39.4011014260907,0.0525022396971143,-1.2818036615581,41.0352244457364,2.56843937975284,1.93095482753323,0.0901628626764662,27.2254333708466,1.54588386336485,0.279709840248841,6.30046140824434,1.40038219108709,3.20564899737915,0.468240703783339,1.38449675582363,3.68075074606692,2.19395764448551,421.885,129.605,20.492,8.5649,1.7583,2.52722973229282,460.54683,"anc4","BS"
