"","Model","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"256","Thomas 1","15",5,"deviance",20.4586503590766,1.00145342983811,3700
"257","Thomas 1","15",5,"sigma",0.384066268932805,1.00075673662878,6000
"258","Thomas 1","15",5,"topt",25.247762784235,1.00083482696415,6000
"259","Thomas 1","16",6,"a",0.523518027445158,1.00059953516089,6000
"260","Thomas 1","16",6,"b",0.0697562114126073,1.00061556405397,6000
"261","Thomas 1","16",6,"c",29.6836087132572,1.00054426797769,6000
"262","Thomas 1","16",6,"deviance",17.8001069116177,1.0009209621382,6000
"263","Thomas 1","16",6,"sigma",0.361823701706432,1.00069559789753,6000
"264","Thomas 1","16",6,"topt",25.1830885656372,1.0006523426554,6000
"265","Thomas 1","17",7,"a",0.142462884374,1.00127926759345,4500
"266","Thomas 1","17",7,"b",0.121489272583152,1.00140552095111,3900
"267","Thomas 1","17",7,"c",28.9397779993511,1.00167153382958,3000
"268","Thomas 1","17",7,"deviance",37.4021278220538,1.00101350548407,6000
"269","Thomas 1","17",7,"sigma",0.547862297692659,1.00078061194919,6000
"270","Thomas 1","17",7,"topt",25.4599511182508,1.00134921091124,4100
"271","Thomas 1","18",8,"a",0.336107951049265,1.00097013209966,6000
"272","Thomas 1","18",8,"b",0.081334866406703,1.00084504627647,6000
"273","Thomas 1","18",8,"c",29.2969792165193,1.00130395440202,4300
"274","Thomas 1","18",8,"deviance",2.4409996888177,1.0010920544086,5900
"275","Thomas 1","18",8,"sigma",0.264108194840853,1.00120863785384,4900
"276","Thomas 1","18",8,"topt",25.1265993849427,1.00205226526738,2300
"277","Thomas 1","19",9,"a",0.34758796482568,1.00095034211562,6000
"278","Thomas 1","19",9,"b",0.0834684406123423,1.00102993324085,6000
"279","Thomas 1","19",9,"c",29.4012599858774,1.00119550395823,5000
"280","Thomas 1","19",9,"deviance",29.0207463768863,1.00141622855669,3800
"281","Thomas 1","19",9,"sigma",0.458161416855879,1.00106706156863,6000
"282","Thomas 1","19",9,"topt",25.3095823420853,1.00084402171434,6000
"283","Thomas 1","2",10,"a",0.320973462346864,1.00076285172892,6000
"284","Thomas 1","2",10,"b",0.0853298146724264,1.00071798036476,6000
"285","Thomas 1","2",10,"c",29.4473606642764,1.00107316682592,6000
"286","Thomas 1","2",10,"deviance",29.7494943348404,1.00084136854279,6000
"287","Thomas 1","2",10,"sigma",0.466285116425356,1.00079934266824,6000
"288","Thomas 1","2",10,"topt",25.3714196839977,1.00111638212568,5700
"289","Thomas 1","20",11,"a",0.174352908847056,1.00063743304502,6000
"290","Thomas 1","20",11,"b",0.103872849164049,1.00068587980037,6000
"291","Thomas 1","20",11,"c",29.1146413229713,1.00105859068011,6000
"292","Thomas 1","20",11,"deviance",19.814102631872,1.00154503211884,3300
"293","Thomas 1","20",11,"sigma",0.377695055099912,1.00229860562123,1900
"294","Thomas 1","20",11,"topt",25.3689828158342,1.00136420614905,4000
"295","Thomas 1","21",12,"a",0.376854629007692,1.00226107041518,2000
"296","Thomas 1","21",12,"b",0.0869484175797736,1.00210145827037,2200
"297","Thomas 1","21",12,"c",29.4512199543372,1.00123063406288,4800
"298","Thomas 1","21",12,"deviance",17.7620762733253,1.00117111397611,5200
"299","Thomas 1","21",12,"sigma",0.363473282223339,1.00115595869842,5300
"300","Thomas 1","21",12,"topt",25.1717597700724,1.00182188082823,4000
"301","Thomas 1","22",13,"a",0.243004183082259,1.00095173288497,6000
"302","Thomas 1","22",13,"b",0.0956825735118436,1.00079786039381,6000
"303","Thomas 1","22",13,"c",29.4500688385888,1.00110284099628,5800
"304","Thomas 1","22",13,"deviance",12.9603264094181,1.00078200635249,6000
"305","Thomas 1","22",13,"sigma",0.328336665300946,1.00141806364896,3800
"306","Thomas 1","22",13,"topt",25.3067270160972,1.00101626812378,6000
"307","Thomas 1","23",14,"a",0.469674975561055,1.00081786689319,6000
