light,population,well_plate,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ancestor_id,treatment,note
27.5,16,E04_15,days,1.5101643753446536,0.25507218943487986,5.920537157306206,0.009626981,0.6984108284969942,2.321917922192313,anc5,B,NA
27.5,16,E11_15,days,1.1113340506876137,0.27095977035822777,4.101472514603745,0.026225607379333785,0.24901913063055003,1.9736489707446774,anc5,B,NA
27.5,17,B08_14,days,1.082170370228752,0.1356672068434344,7.976654015421882,0.004111178,0.6504167690617036,1.5139239713958004,anc2,P,NA
27.5,17,C11_14,days,0.8969450645176793,0.11437514898826331,7.842132425197715,0.004318297,0.532952294,1.2609378348316516,anc2,P,NA
27.5,17,E07_14,days,1.1596526497412265,0.099900016,11.60813282,0.001373096,0.8417262141314048,1.4775790853510482,anc2,P,NA
27.5,17,F05_14,days,1.320808211213783,0.055108526,23.967402209098303,1.5918157711818646e-4,1.1454282858011728,1.496188136626393,anc2,P,NA
27.5,18,B11_14,days,0.5722514496523629,0.14899817519480613,3.840660792685404,0.031135588448246154,0.098072758,1.046430141795088,anc5,S,NA
27.5,18,D02_14,days,0.5690790582022219,0.090797418538330385,6.267568697032765,0.008198582,0.28012114904561397,0.858036967,anc5,S,NA
27.5,18,E06_14,days,0.7472832529980122,0.12447543783225752,6.003459525927094,0.009257683,0.3511468557701724,1.143419650225852,anc5,S,NA
27.5,18,E11_14,days,0.506032786,0.16335300004066042,3.097786911802377,0.053387724,-0.013829366,1.025894937,anc5,S,NA
27.5,19,B03_13,days,0.808001209,0.17568122280040882,4.5992462736294195,0.019320990644611586,0.24890515090255516,1.3670972677203248,anc2,B,NA
27.5,19,D04_13,days,0.7374380371570378,0.24047665018282677,3.0665681536913754,0.05470969,-0.02786599,1.5027420640383775,anc2,B,NA
27.5,19,D10_13,days,0.9517365055101846,0.302652134,3.144654868594222,0.051477711,-0.011437659,1.9149106699673872,anc2,B,NA
27.5,19,F03_13,days,0.6720495158829878,0.28894006839920094,2.325913188870991,0.10252923579413122,-0.247486737,1.5915857690084465,anc2,B,NA
27.5,2,B10_14,days,0.7979969203215671,0.2162872339682381,3.689523906,0.034527956,0.10967441169931502,1.486319428943819,anc3,BS,NA
27.5,2,C08_14,days,0.7393243272340991,0.10877895530673465,6.796574991452658,0.00651252,0.39314114282555984,1.0855075116426385,anc3,BS,NA
27.5,2,E04_14,days,1.0301080743769027,0.029411635931142432,35.023827875081764,5.1180771191511565e-5,0.9365071222754888,1.1237090264783165,anc3,BS,NA
27.5,2,F09_14,days,0.9700857393029305,0.30800046118552143,3.149624307603253,0.051280279,-0.01010919,1.950280669028471,anc3,BS,NA
27.5,20,B06_15,days,0.9680837673452901,0.14143012824151344,6.844961391056225,0.006381988,0.5179899782672848,1.4181775564232955,anc4,L,NA
27.5,20,D03_15,days,0.9129461709632207,0.16880660831867605,5.408237154079567,0.012395814959997442,0.37572820401197615,1.4501641379144652,anc4,L,NA
27.5,20,D08_15,days,0.9242264584019672,0.05838203,15.830666722424834,5.479859786315994e-4,0.7384287829559731,1.1100241338479613,anc4,L,NA
27.5,20,E09_15,days,1.0458256907807197,0.19678679441554428,5.314511545,0.013011284554096711,0.41956228396434636,1.6720890975970932,anc4,L,NA
27.5,21,C02_14,days,1.374023877463684,0.055795527,24.62605767607202,1.4679591776865607e-4,1.1964576072256874,1.5515901477016805,anc4,B,NA
27.5,21,C09_14,days,1.306782620452772,0.069564086,18.78530572089572,3.2930864206372906e-4,1.0853986523631334,1.5281665885424105,anc4,B,NA
27.5,21,E09_14,days,1.3773835395679273,0.085813022,16.050985047773057,5.259327442501047e-4,1.1042882034617665,1.650478875674088,anc4,B,NA
27.5,21,F04_14,days,1.4125287530950725,0.082074833,17.210254367116818,4.27420548884039e-4,1.1513300040525563,1.6737275021375888,anc4,B,NA
27.5,22,B05_14,days,0.7791598214192093,0.07839886,9.9384076,0.002167273,0.529659661,1.0286599822840337,cc1690,C,NA
27.5,22,D03_14,days,0.6464493941645076,0.11678050430934489,5.535593445050555,0.011619076208444561,0.2748017096960648,1.0180970786329504,cc1690,C,NA
27.5,22,E10_14,days,0.6750195272815599,0.16847231537428042,4.006708911086829,0.02788585,0.1388654296760896,1.2111736248870302,cc1690,C,NA
27.5,22,F06_14,days,0.575712259,0.1321311820685112,4.357126376,0.022340253,0.1552118663617696,0.9962126507351743,cc1690,C,NA
27.5,23,B06_13,days,1.2331447488470757,0.29706711322520296,4.151064503,0.025407429795617616,0.28774461194223167,2.178544886,anc5,L,NA
27.5,23,C10_13,days,1.342270429371352,0.4813424542939788,2.7885976343810377,0.06849869,-0.189576086,2.874116944615417,anc5,L,NA
