"population","phos","well.ID","µ"
"anc4",8,"F06_18",1.36189177638382
"23",10,"B06_19",1.35364632657944
"1",10,"C06_19",1.24775400687876
"14",10,"D06_19",1.55741348032501
"24",10,"E06_19",1.36810293200466
"8",10,"F06_19",1.43318039162002
"anc2",0.5,"B06_2",0.379368271880536
"26",0.5,"C06_2",0.271275401970463
"31",0.5,"D06_2",0.1934460506874
"18",0.5,"E06_2",0.355660666774377
"22",0.5,"F06_2",-0.376881826635536
"anc2",10,"B06_20",1.40226806253026
"26",10,"C06_20",1.31450151853268
"31",10,"D06_20",1.34612603780402
"18",10,"E06_20",1.48205909653598
"22",10,"F06_20",1.54744281238488
"20",10,"B06_21",1.24573108287079
"anc3",10,"C06_21",1.16051335434151
"5",10,"D06_21",1.11650366823154
"29",10,"E06_21",1.27487857237479
"anc4",10,"F06_21",1.20947412649235
"23",20,"B06_22",1.29860388445039
"1",20,"C06_22",1.30868767789002
"14",20,"D06_22",1.4281148863808
"24",20,"E06_22",1.43623785268072
"8",20,"F06_22",1.63497211729584
"22",20,"B06_23",1.38151109015161
"26",20,"C06_23",1.30985155078145
"31",20,"D06_23",1.42384913306445
"18",20,"E06_23",1.36224651330363
"anc2",20,"F06_23",1.29134038481607
"20",20,"B06_24",1.35739285849657
"anc3",20,"C06_24",1.39439586051006
"5",20,"D06_24",1.39709504174515
